Time [ms], Elem0, Elem1, Elem2, Elem3, Elem4, Elem5, Elem6, Elem7, Elem8, Elem9, Elem10, Elem11
7315, 253, 252, 895, 251, 252, 251, 0, 0, 0, 0, 0, 0
7339, 254, 252, 905, 250, 252, 252, 0, 0, 0, 0, 0, 0
7363, 252, 252, 906, 250, 252, 249, 0, 0, 0, 0, 0, 0
7387, 253, 252, 904, 251, 252, 251, 0, 0, 0, 0, 0, 0
7412, 255, 252, 876, 251, 251, 251, 0, 0, 0, 0, 0, 0
7434, 255, 252, 823, 253, 252, 252, 0, 0, 0, 0, 0, 0
7458, 256, 252, 749, 251, 252, 251, 0, 0, 0, 0, 0, 0
7482, 256, 252, 1101, 253, 252, 252, 0, 0, 0, 0, 0, 0
7505, 254, 252, 538, 252, 252, 252, 0, 0, 0, 0, 0, 0
7529, 255, 252, 459, 251, 252, 252, 0, 0, 0, 0, 0, 0
7553, 252, 252, 408, 253, 251, 251, 0, 0, 0, 0, 0, 0
7577, 253, 252, 362, 253, 252, 253, 0, 0, 0, 0, 0, 0
7600, 255, 252, 326, 253, 251, 252, 0, 0, 0, 0, 0, 0
7648, 253, 252, 273, 253, 252, 251, 0, 0, 0, 0, 0, 0
7672, 249, 252, 258, 252, 252, 251, 0, 0, 0, 0, 0, 0
7695, 251, 252, 257, 254, 252, 251, 0, 0, 0, 0, 0, 0
7719, 251, 252, 244, 251, 252, 252, 0, 0, 0, 0, 0, 0
7744, 252, 252, 241, 254, 252, 252, 0, 0, 0, 0, 0, 0
7767, 251, 252, 254, 252, 252, 252, 0, 0, 0, 0, 0, 0
7790, 250, 252, 258, 252, 252, 251, 0, 0, 0, 0, 0, 0
7814, 250, 252, 265, 253, 252, 251, 0, 0, 0, 0, 0, 0
7838, 253, 252, 286, 254, 252, 252, 0, 0, 0, 0, 0, 0
7862, 253, 252, 320, 254, 252, 251, 0, 0, 0, 0, 0, 0
7887, 250, 252, 378, 253, 252, 251, 0, 0, 0, 0, 0, 0
7910, 253, 252, 431, 253, 251, 252, 0, 0, 0, 0, 0, 0
7933, 252, 252, 499, 254, 252, 253, 0, 0, 0, 0, 0, 0
7957, 254, 252, 551, 253, 252, 251, 0, 0, 0, 0, 0, 0
7981, 252, 252, 606, 254, 252, 252, 0, 0, 0, 0, 0, 0
8007, 250, 252, 651, 252, 251, 251, 0, 0, 0, 0, 0, 0
8029, 251, 252, 703, 253, 252, 251, 0, 0, 0, 0, 0, 0
8053, 248, 252, 750, 251, 251, 251, 0, 0, 0, 0, 0, 0
8077, 249, 252, 794, 253, 252, 250, 0, 0, 0, 0, 0, 0
8100, 250, 252, 829, 250, 251, 250, 0, 0, 0, 0, 0, 0
8124, 252, 252, 867, 253, 252, 252, 0, 0, 0, 0, 0, 0
8148, 252, 252, 891, 254, 252, 251, 0, 0, 0, 0, 0, 0
8171, 253, 252, 912, 254, 252, 252, 0, 0, 0, 0, 0, 0
8219, 253, 252, 930, 255, 252, 252, 0, 0, 0, 0, 0, 0
8243, 253, 252, 928, 253, 251, 252, 0, 0, 0, 0, 0, 0
8267, 251, 252, 894, 254, 252, 252, 0, 0, 0, 0, 0, 0
8290, 251, 252, 837, 253, 252, 251, 0, 0, 0, 0, 0, 0
8314, 251, 252, 751, 255, 252, 252, 0, 0, 0, 0, 0, 0
8339, 252, 252, 682, 254, 251, 252, 0, 0, 0, 0, 0, 0
8362, 251, 252, 605, 255, 252, 253, 0, 0, 0, 0, 0, 0
8385, 249, 252, 543, 254, 252, 252, 0, 0, 0, 0, 0, 0
8409, 249, 252, 482, 254, 252, 252, 0, 0, 0, 0, 0, 0
8433, 249, 252, 438, 254, 251, 249, 0, 0, 0, 0, 0, 0
8456, 250, 252, 402, 253, 252, 251, 0, 0, 0, 0, 0, 0
8480, 250, 252, 373, 254, 252, 251, 0, 0, 0, 0, 0, 0
8504, 251, 252, 345, 255, 252, 251, 0, 0, 0, 0, 0, 0
8528, 251, 252, 329, 255, 252, 252, 0, 0, 0, 0, 0, 0
8551, 252, 252, 308, 254, 252, 252, 0, 0, 0, 0, 0, 0
8575, 250, 252, 297, 255, 252, 252, 0, 0, 0, 0, 0, 0
